JID,model_family,model,feature,feature_label,feature_value,mean,std,coefficient_scaled,standardized_value,contribution,contribution_abs,rank_by_abs,interpretation
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_owner_fault,業主可歸責爭點,0.0,0.86363636,0.34317429,-0.2071798,-2.51661149,0.52139106,0.52139106,1,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_owner_fault,AI 提示：業主可歸責,0.0,0.86363636,0.34317429,-0.2071798,-2.51661149,0.52139106,0.52139106,2,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_delay_days,逾期天數,31.0,204.46969697,235.08104468,0.36501668,-0.73791444,-0.26935108,0.26935108,3,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_log_contract_price,契約總價(log),13.08569939,16.17302776,4.27434979,-0.2929731,-0.72229193,0.21161211,0.21161211,4,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_used_by_owner,業主已使用成果爭點,1.0,0.48484848,0.49977038,0.16040232,1.03077641,0.16533893,0.16533893,5,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_used_by_owner,AI 提示：業主已使用成果,1.0,0.48484848,0.49977038,0.16040232,1.03077641,0.16533893,0.16533893,6,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_actual_damage_unclear,實際損害不明爭點,1.0,0.8030303,0.39770923,-0.24977099,0.49526057,-0.12370172,0.12370172,7,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_actual_damage_unclear,AI 提示：實際損害不明,1.0,0.8030303,0.39770923,-0.24977099,0.49526057,-0.12370172,0.12370172,8,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_penalty_per_delay_day,每日違約金,349096.77419355,656568.04305602,1326298.9919724,0.46826571,-0.23182651,-0.10855641,0.10855641,9,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_money_candidate_count,AI 候選金額數,26.0,29.60606061,7.18558909,-0.19166819,-0.5018462,0.09618795,0.09618795,10,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_extension_request,展延申請爭點,1.0,0.86363636,0.34317429,0.22337217,0.39735972,0.0887591,0.0887591,11,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_extension_request,AI 提示：展延申請,1.0,0.86363636,0.34317429,0.22337217,0.39735972,0.0887591,0.0887591,12,提高酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_delay_candidate_count,AI 候選天數數,12.0,11.8030303,1.46907203,-0.31422388,0.13407763,-0.04213039,0.04213039,13,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_claim_to_contract_ratio,主張違約金/契約總價,22.45228216,1229.48440109,9891.29181351,0.18975604,-0.12202978,-0.02315589,0.02315589,14,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_contractor_fault,承包商可歸責爭點,1.0,0.92424242,0.26460984,-0.07620882,0.28629918,-0.02181852,0.02181852,15,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_contractor_fault,AI 提示：承包商可歸責,1.0,0.92424242,0.26460984,-0.07620882,0.28629918,-0.02181852,0.02181852,16,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_log_claimed_penalty,主張違約金(log),16.19709166,16.34934956,1.66529897,0.13540461,-0.09142977,-0.01238001,0.01238001,17,降低酌減機率
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_issue_partial_completion,部分完工爭點,1.0,1.0,1.0,0.0,0.0,0.0,0.0,18,影響接近零
"KSDV,109,訴,1349,20210122,4",classification,logistic_regression_l2,x_ai_issue_partial_completion,AI 提示：部分完工,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19,影響接近零
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_owner_fault,業主可歸責爭點,0.0,0.875,0.33071891,0.03713948,-2.64575134,-0.09826183,0.09826183,1,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_owner_fault,AI 提示：業主可歸責,0.0,0.875,0.33071891,0.03713948,-2.64575134,-0.09826183,0.09826183,2,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_delay_days,逾期天數,31.0,210.078125,236.50061474,-0.07519768,-0.75719941,0.05693964,0.05693964,3,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_money_candidate_count,AI 候選金額數,26.0,30.28125,6.11726233,0.06750068,-0.69986372,-0.04724128,0.04724128,4,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_used_by_owner,業主已使用成果爭點,1.0,0.5,0.5,-0.03365042,1.0,-0.03365042,0.03365042,5,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_used_by_owner,AI 提示：業主已使用成果,1.0,0.5,0.5,-0.03365042,1.0,-0.03365042,0.03365042,6,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_log_contract_price,契約總價(log),13.08569939,16.39756482,3.82790186,-0.02492127,-0.86519079,0.02156165,0.02156165,7,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_extension_request,展延申請爭點,1.0,0.875,0.33071891,-0.04018687,0.37796448,-0.01518921,0.01518921,8,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_extension_request,AI 提示：展延申請,1.0,0.875,0.33071891,-0.04018687,0.37796448,-0.01518921,0.01518921,9,降低准許比例/提高酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_actual_damage_unclear,實際損害不明爭點,1.0,0.796875,0.40232479,0.01878109,0.50487816,0.00948216,0.00948216,10,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_actual_damage_unclear,AI 提示：實際損害不明,1.0,0.796875,0.40232479,0.01878109,0.50487816,0.00948216,0.00948216,11,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_log_claimed_penalty,主張違約金(log),16.19709166,16.39224472,1.64675437,-0.07501585,-0.11850769,0.00888996,0.00888996,12,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_delay_candidate_count,AI 候選天數數,12.0,11.984375,0.12401959,0.03006805,0.12598816,0.00378822,0.00378822,13,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_claim_to_contract_ratio,主張違約金/契約總價,22.45228216,1267.90164358,10042.22964434,-0.02476236,-0.1240212,0.00307106,0.00307106,14,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_penalty_per_delay_day,每日違約金,349096.77419355,676898.29440152,1341789.57624059,-0.00584356,-0.24430173,0.00142759,0.00142759,15,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_contractor_fault,承包商可歸責爭點,1.0,0.921875,0.26836819,0.00432985,0.29111125,0.00126047,0.00126047,16,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_contractor_fault,AI 提示：承包商可歸責,1.0,0.921875,0.26836819,0.00432985,0.29111125,0.00126047,0.00126047,17,提高准許比例/降低酌減幅度
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_issue_partial_completion,部分完工爭點,1.0,1.0,1.0,0.0,0.0,0.0,0.0,18,影響接近零
"KSDV,109,訴,1349,20210122,4",ratio,ridge_regression_l2,x_ai_issue_partial_completion,AI 提示：部分完工,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19,影響接近零
